,personName,injury_date,Body_Part_Group,Injury_Reason_Group,Direction,injury_description,position_y,weight_lbs,height_inches,performance_metric_after,age_in_season,days_from_injury,foulsPersonal,plusMinusPoints,minutes_numeric,performance_metric_before,points,steals,assists,reboundsTotal,turnovers,fieldGoalsMade,fieldGoalsAttempted,freeThrowsMade,freeThrowsAttempted,threePointersMade,performance_pct,performance_change,injury_severity
0,Aaron Brooks,2012-12-30,ankle_region,pain_discomfort,left,sore left ankle,Guard,161.0,72.0,12.2,28.0,2,1.7,-8.7,25.311666666666667,19.2,10.9,0.6,3.8,1.7,2.2,4.1,8.6,1.1,1.3,1.6,-0.36458333333333337,-7.0,Minor (≤1 week)
1,Aaron Brooks,2014-01-15,knee_general,other,unspecified,tendinitis in knee,Guard,161.0,72.0,12.2,29.0,1,2.0,-3.3,17.888333333333332,10.0,7.4,0.1,1.5,1.5,0.8,2.5,6.9,1.0,1.2,1.4,0.21999999999999992,2.1999999999999993,Minor (≤1 week)
2,Aaron Brooks,2015-11-19,upper_leg,strain_sprain_tear,left,strained left hamstring,Guard,161.0,72.0,11.1,31.0,13,1.9,3.4,15.566666666666666,15.3,8.5,0.3,2.3,2.4,0.8,3.4,7.7,0.5,0.6,1.2,-0.2745098039215687,-4.200000000000001,Moderate (1-2 weeks)
3,Aaron Brooks,2015-12-05,upper_leg,strain_sprain_tear,left,strained left hamstring,Guard,161.0,72.0,13.4,31.0,5,2.1,3.5,14.919999999999998,15.6,8.1,0.3,2.6,2.4,0.7,3.1,7.1,0.7,0.9,1.2,-0.141025641025641,-2.1999999999999993,Minor (≤1 week)
4,Aaron Brooks,2016-10-24,knee_general,pain_discomfort,unspecified,sore knee,Guard,161.0,72.0,11.9,32.0,8,1.6,-2.3,16.325,13.8,7.1,0.5,2.8,0.7,1.4,2.9,5.5,0.4,0.4,0.9,-0.13768115942028988,-1.9000000000000004,Moderate (1-2 weeks)
5,Aaron Brooks,2016-10-26,knee_general,pain_discomfort,unspecified,sore knee,Guard,161.0,72.0,11.9,32.0,6,1.6,-2.3,16.325,13.8,7.1,0.5,2.8,0.7,1.4,2.9,5.5,0.4,0.4,0.9,-0.13768115942028988,-1.9000000000000004,Minor (≤1 week)
6,Aaron Gordon,2014-11-16,foot_general,bone_injury,left,fractured left foot,Forward,220.0,81.0,10.6,19.0,63,1.2,-2.3,13.654999999999998,9.2,5.3,0.2,0.7,3.0,0.8,2.0,3.5,1.0,1.5,0.3,0.1521739130434783,1.4000000000000004,Major (1-3 months)
7,Aaron Gordon,2015-12-08,ankle_region,injury,unspecified,ankle injury,Forward,220.0,81.0,11.9,20.0,1,2.6,1.4,18.884999999999998,15.8,6.9,0.8,1.3,4.8,0.7,2.9,6.0,0.7,1.2,0.4,-0.2468354430379747,-3.9000000000000004,Minor (≤1 week)
8,Aaron Gordon,2016-04-07,head_region,impact_injury,unspecified,concussion,Forward,220.0,81.0,24.2,20.0,6,2.0,-1.3,27.636666666666667,22.3,10.7,0.8,2.2,6.4,0.6,4.4,10.2,1.2,1.7,0.7,0.08520179372197302,1.8999999999999986,Minor (≤1 week)
9,Aaron Gordon,2017-02-08,bone,bruise_contusion,unspecified,bone bruise in right foot,Forward,220.0,81.0,22.9,21.0,5,2.2,-6.7,28.32,16.6,10.1,0.7,2.1,3.9,0.7,3.8,10.4,1.9,2.7,0.6,0.3795180722891564,6.299999999999997,Minor (≤1 week)
10,Aaron Gordon,2017-12-09,head_region,impact_injury,unspecified,concussion,Forward,220.0,81.0,23.7,22.0,6,1.4,-4.6,36.50833333333333,35.4,20.0,1.2,2.4,8.1,1.2,6.8,14.7,4.1,5.2,2.3,-0.3305084745762712,-11.7,Minor (≤1 week)
11,Aaron Gordon,2017-12-16,lower_leg,strain_sprain_tear,right,strained right calf,Forward,220.0,81.0,25.7,22.0,12,1.4,-6.0,35.315,32.4,18.7,1.2,2.3,7.8,1.4,6.1,13.9,4.2,5.5,2.3,-0.2067901234567901,-6.699999999999999,Moderate (1-2 weeks)
12,Aaron Gordon,2018-01-30,hip_pelvis,strain_sprain_tear,left,strained left hip flexor,Forward,220.0,81.0,30.5,22.0,23,2.3,-3.0,35.24333333333333,22.8,17.0,0.8,2.4,9.1,2.7,6.6,18.9,2.5,4.0,1.3,0.337719298245614,7.699999999999999,Significant (2-4 weeks)
13,Aaron Gordon,2018-03-09,head_region,impact_injury,unspecified,concussion,Forward,220.0,81.0,27.0,22.0,11,2.1,3.0,33.196666666666665,30.4,17.8,1.0,2.9,9.3,2.0,6.6,15.7,2.7,4.6,1.9,-0.11184210526315785,-3.3999999999999986,Moderate (1-2 weeks)
14,Aaron Gordon,2018-04-06,lower_leg,pain_discomfort,right,sore right calf,Forward,220.0,81.0,23.4,22.0,2,2.0,0.4,32.483333333333334,27.6,16.6,1.1,2.7,7.3,1.6,6.3,16.4,2.1,3.1,1.9,-0.15217391304347835,-4.200000000000003,Minor (≤1 week)
15,Aaron Gordon,2019-01-19,spine_torso,pain_discomfort,lower,sore lower back,Forward,220.0,81.0,26.1,23.0,4,1.7,-0.7,34.803333333333335,30.2,17.2,0.6,3.9,7.4,1.8,6.2,13.9,3.5,4.3,1.3,-0.13576158940397345,-4.099999999999998,Minor (≤1 week)
16,Aaron Gordon,2019-11-21,ankle_region,bruise_contusion,right,bruised right ankle,Forward,235.0,80.0,25.8,24.0,8,2.4,0.5,30.90833333333333,23.9,14.7,0.4,2.8,6.2,1.4,5.4,12.2,2.8,3.9,1.1,0.07949790794979089,1.9000000000000021,Moderate (1-2 weeks)
17,Aaron Gordon,2021-01-08,upper_leg,injury,left,left hamstring injury,Forward,235.0,80.0,25.5,25.0,1,1.7,-0.8,25.456666666666667,25.2,14.0,0.8,2.3,7.5,1.7,5.2,10.8,2.3,3.9,1.3,0.011904761904761934,0.3000000000000007,Minor (≤1 week)
18,Aaron Gordon,2021-01-24,hip_pelvis,injury,unspecified,hip injury,Forward,235.0,80.0,22.1,25.0,1,1.8,0.5,32.214999999999996,31.7,16.7,0.7,5.7,7.9,3.2,5.8,12.9,2.8,4.5,2.3,-0.30283911671924285,-9.599999999999998,Minor (≤1 week)
19,Aaron Gordon,2021-03-12,ankle_region,injury,left,left ankle injury,Forward,235.0,80.0,28.2,25.0,6,2.5,-2.6,29.395,22.5,12.3,0.5,5.2,7.3,3.3,3.9,10.7,2.9,4.5,1.6,0.2533333333333333,5.699999999999999,Minor (≤1 week)
20,Aaron Gordon,2021-05-08,lower_leg,injury,right,right calf injury,Forward,235.0,80.0,22.5,25.0,3,1.9,1.2,25.59333333333333,15.7,9.2,0.5,1.8,4.9,1.5,3.6,8.2,1.3,2.0,0.7,0.4331210191082803,6.800000000000001,Minor (≤1 week)
21,Aaron Holiday,2021-05-11,foot_toe,injury,right,right big toe injury,Guard,185.0,72.0,9.7,25.0,162,1.1,1.9,22.851666666666667,18.5,8.4,1.2,3.5,2.3,1.6,2.8,7.1,1.9,2.1,0.9,-0.4756756756756757,-8.8,Severe (>3 months)
22,Aaron Nesmith,2022-10-29,foot_general,injury,right,right foot injury,Guard-Forward,215.0,77.0,11.8,23.0,11,2.6,-0.5,17.276666666666664,11.9,7.6,0.3,1.1,2.5,1.1,2.7,5.9,0.9,1.1,1.3,-0.008403361344537785,-0.09999999999999964,Moderate (1-2 weeks)
