Date,Team,Acquired,Player,Injury,Duration,Injury_Description,Injured_Area,Injury_Reason,Next_Appearance,Days_Between,Estimated_Duration_Days,Body_Part_Group,Injury_Reason_Group,Direction,Injury_Combined
2015-12-09,Hawks,,(James) Mike Scott,knee injury (DTD),DTD,knee injury,knee,injury,2016-10-26,322.0,7.0,knee_region,injury,unspecified,knee_region_injury
2016-10-26,Hawks,,(James) Mike Scott,left knee injury (DTD),DTD,left knee injury,left knee,injury,2019-04-26,912.0,7.0,knee_region,injury,left,knee_region_injury
2019-04-26,76ers,,(James) Mike Scott,right foot injury (DTD),DTD,right foot injury,right foot,injury,2021-01-15,630.0,7.0,ankle_foot,injury,right,ankle_foot_injury
2021-01-15,76ers,,(James) Mike Scott,right knee injury (DTD),DTD,right knee injury,right knee,injury,,,,knee_region,injury,right,knee_region_injury
2022-03-10,Pistons,,(Sean) Chris Smith,sprained left knee (DTD),DTD,sprained left knee,left knee,sprain,,,,knee_region,strain_sprain_tear,left,knee_region_strain_sprain_tear
2010-03-08,Spurs,,(William) Tony Parker,broken bone in right hand (DNP),DNP,broken bone in right hand,right hand,broken,2011-02-28,357.0,357.0,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2011-02-28,Spurs,,(William) Tony Parker,strained left calf muscle (out indefinitely),out indefinitely,strained left calf muscle,left calf,strain,2011-03-28,28.0,28.0,lower_leg,strain_sprain_tear,left,lower_leg_strain_sprain_tear
2011-03-28,Spurs,,(William) Tony Parker,bruised left patella (DNP),DNP,bruised left patella,left patella,bruise,2012-03-23,361.0,361.0,knee_region,bruise_contusion,left,knee_region_bruise_contusion
2012-03-23,Spurs,,(William) Tony Parker,sore left hamstring (DNP),DNP,sore left hamstring,left hamstring,sore,2013-02-11,325.0,325.0,upper_leg,pain_discomfort,left,upper_leg_pain_discomfort
2013-02-11,Spurs,,(William) Tony Parker,knee injury (DNP),DNP,knee injury,knee,injury,2013-02-24,13.0,13.0,knee_region,injury,unspecified,knee_region_injury
2013-02-24,Spurs,,(William) Tony Parker,sore triceps (DNP),DNP,sore triceps,unknown,sore,2013-03-02,6.0,6.0,other,pain_discomfort,unspecified,other_pain_discomfort
2013-03-02,Spurs,,(William) Tony Parker,sprained left ankle (out indefinitely),out indefinitely,sprained left ankle,left ankle,sprain,2013-04-03,32.0,32.0,ankle_foot,strain_sprain_tear,left,ankle_foot_strain_sprain_tear
2013-04-03,Spurs,,(William) Tony Parker,sore left ankle (DNP),DNP,sore left ankle,left ankle,sore,2013-04-15,12.0,12.0,ankle_foot,pain_discomfort,left,ankle_foot_pain_discomfort
2013-04-15,Spurs,,(William) Tony Parker,sore neck (DNP),DNP,sore neck,neck,sore,2014-01-19,279.0,279.0,spine_torso,pain_discomfort,unspecified,spine_torso_pain_discomfort
2014-01-19,Spurs,,(William) Tony Parker,bruised right shin (DNP),DNP,bruised right shin,right shin,bruise,2014-12-01,316.0,316.0,lower_leg,bruise_contusion,right,lower_leg_bruise_contusion
2014-12-01,Spurs,,(William) Tony Parker,bruised ribs (DTD),DTD,bruised ribs,rib,bruise,2014-12-06,5.0,5.0,spine_torso,bruise_contusion,unspecified,spine_torso_bruise_contusion
2014-12-06,Spurs,,(William) Tony Parker,strained left hamstring (DTD),DTD,strained left hamstring,left hamstring,strain,2014-12-26,20.0,7.0,upper_leg,strain_sprain_tear,left,upper_leg_strain_sprain_tear
2014-12-26,Spurs,,(William) Tony Parker,strained hamstring (DTD),DTD,strained hamstring,hamstring,strain,2016-01-20,390.0,7.0,upper_leg,strain_sprain_tear,unspecified,upper_leg_strain_sprain_tear
2016-01-20,Spurs,,(William) Tony Parker,right hip injury (DTD),DTD,right hip injury,right hip,injury,2016-02-10,21.0,7.0,hip_pelvis,injury,right,hip_pelvis_injury
2016-02-10,Spurs,,(William) Tony Parker,left ankle injury (DTD),DTD,left ankle injury,left ankle,injury,2016-03-08,27.0,7.0,ankle_foot,injury,left,ankle_foot_injury
2016-03-08,Spurs,,(William) Tony Parker,bruised left toe (DTD),DTD,bruised left toe,left toe,bruise,2016-11-03,240.0,7.0,ankle_foot,bruise_contusion,left,ankle_foot_bruise_contusion
2016-11-03,Spurs,,(William) Tony Parker,sore right knee (DTD),DTD,sore right knee,right knee,sore,2017-01-19,77.0,7.0,knee_region,pain_discomfort,right,knee_region_pain_discomfort
2017-01-19,Spurs,,(William) Tony Parker,sore left foot (DTD),DTD,sore left foot,left foot,sore,2017-03-09,49.0,7.0,ankle_foot,pain_discomfort,left,ankle_foot_pain_discomfort
2017-03-09,Spurs,,(William) Tony Parker,stiffness in back (DTD),DTD,stiffness in back,back,stiffness,2017-03-11,2.0,2.0,spine_torso,pain_discomfort,unspecified,spine_torso_pain_discomfort
2017-03-11,Spurs,,(William) Tony Parker,sore lower back (DTD),DTD,sore lower back,lower lower back,sore,2017-03-13,2.0,2.0,spine_torso,pain_discomfort,lower,spine_torso_pain_discomfort
2017-03-13,Spurs,,(William) Tony Parker,sore lower back (DTD),DTD,sore lower back,lower lower back,sore,2017-05-04,52.0,7.0,spine_torso,pain_discomfort,lower,spine_torso_pain_discomfort
2017-05-04,Spurs,,(William) Tony Parker,ruptured quadriceps tendon in left leg (out for season),out for season,ruptured quadriceps tendon in left leg,left quadriceps,unknown,2018-01-11,252.0,252.0,upper_leg,other,left,upper_leg_other
2018-01-11,Spurs,,(William) Tony Parker,sprained right ankle (DTD),DTD,sprained right ankle,right ankle,sprain,2018-02-09,29.0,7.0,ankle_foot,strain_sprain_tear,right,ankle_foot_strain_sprain_tear
2018-02-09,Spurs,,(William) Tony Parker,tightness in back (DTD),DTD,tightness in back,back,unknown,2018-11-25,289.0,7.0,spine_torso,other,unspecified,spine_torso_other
2018-11-25,Hornets,,(William) Tony Parker,rib injury (DTD),DTD,rib injury,rib,injury,,,,spine_torso,injury,unspecified,spine_torso_injury
2010-05-24,Pacers,,A.J. Price,fractured patella in left knee (out indefinitely),out indefinitely,fractured patella in left knee,left patella,fracture,2012-12-11,932.0,932.0,knee_region,bone_injury,left,knee_region_bone_injury
2012-12-11,Wizards,,A.J. Price,fractured right hand (DNP),DNP,fractured right hand,right hand,fracture,2012-12-12,1.0,1.0,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2012-12-12,Wizards,,A.J. Price,fractured right hand (DNP),DNP,fractured right hand,right hand,fracture,2012-12-14,2.0,2.0,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2012-12-14,Wizards,,A.J. Price,fractured right hand (DNP),DNP,fractured right hand,right hand,fracture,2012-12-18,4.0,4.0,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2012-12-18,Wizards,,A.J. Price,fractured right hand (DNP),DNP,fractured right hand,right hand,fracture,2012-12-21,3.0,3.0,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2012-12-21,Wizards,,A.J. Price,fractured right hand (DNP),DNP,fractured right hand,right hand,fracture,2012-12-22,1.0,1.0,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2012-12-22,Wizards,,A.J. Price,fractured right hand (DNP),DNP,fractured right hand,right hand,fracture,2012-12-28,6.0,6.0,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2012-12-28,Wizards,,A.J. Price,fractured right hand (DNP),DNP,fractured right hand,right hand,fracture,2012-12-29,1.0,1.0,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2012-12-29,Wizards,,A.J. Price,fractured right hand (DNP),DNP,fractured right hand,right hand,fracture,2013-01-01,3.0,3.0,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2013-01-01,Wizards,,A.J. Price,fractured right hand (DNP),DNP,fractured right hand,right hand,fracture,2013-01-02,1.0,1.0,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2013-01-02,Wizards,,A.J. Price,fractured right hand (DNP),DNP,fractured right hand,right hand,fracture,2013-01-04,2.0,2.0,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2013-01-04,Wizards,,A.J. Price,fractured right hand (DNP),DNP,fractured right hand,right hand,fracture,2013-01-06,2.0,2.0,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2013-01-06,Wizards,,A.J. Price,fractured right hand (DNP),DNP,fractured right hand,right hand,fracture,2013-03-13,66.0,66.0,wrist_hand,bone_injury,right,wrist_hand_bone_injury
2013-03-13,Wizards,,A.J. Price,groin injury (DNP),DNP,groin injury,groin,injury,2013-03-15,2.0,2.0,hip_pelvis,injury,unspecified,hip_pelvis_injury
2013-03-15,Wizards,,A.J. Price,sore right groin (DNP),DNP,sore right groin,right groin,sore,2013-03-16,1.0,1.0,hip_pelvis,pain_discomfort,right,hip_pelvis_pain_discomfort
2013-03-16,Wizards,,A.J. Price,sore right knee (DNP),DNP,sore right knee,right knee,sore,,,,knee_region,pain_discomfort,right,knee_region_pain_discomfort
2012-12-30,Kings,,Aaron Brooks,sore left ankle (DNP),DNP,sore left ankle,left ankle,sore,2014-01-15,381.0,381.0,ankle_foot,pain_discomfort,left,ankle_foot_pain_discomfort
2014-01-15,Rockets,,Aaron Brooks,tendinitis in knee (DNP),DNP,tendinitis in knee,knee,unknown,2015-11-19,673.0,673.0,knee_region,other,unspecified,knee_region_other
